id,name,category,收盤價,漲跌幅,月增率%,年增率%,累計年增率%,投信持股比例,投信買賣超%,投信買賣超(張),投信5買%,投信10買%,投信20買%,投信5買N天,投信10買N天,投信20買N天,外資持股比例,外資買賣超(張),外資買賣超%,外資5買%,外資10買%,外資20買%,外資5買N天,外資10買N天,外資20買N天自營商買賣超(張),自營商買賣超%,自營商持股比例,主力買賣超(張),主力今日%,主力5買%,主力10買%,主力20買%,投信5賣N天,投信10賣N天,投信20賣N天,20漲跌幅,60漲跌幅
1240,茂生農經,農業科技,57.7,-0.35,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.11,-2.0,-0.01,0.0,0.0,-0.06,4.0,7.0,,0.0,0.09,0.0,0.0,0.01,-0.03,-0.33,0.0,0.0,0.0,-7.68,-12.31
1256,鮮活果汁-KY,食品工業,139.0,-1.77,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.55,-1.0,-0.0,0.08,0.13,0.5,2.0,5.0,,0.0,0.03,-16.0,-0.05,0.03,0.15,0.11,0.0,0.0,0.0,-10.03,-23.63
1258,其祥-KY,食品工業,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1259,安心,觀光事業,63.4,0.48,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.13,-2.0,-0.01,-0.01,-0.01,0.01,1.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,-1.09,-1.09
1264,德麥,食品工業,290.5,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46,0.0,0.0,-0.02,-0.02,-0.02,0.0,1.0,,0.0,2.21,-1.0,-0.0,-0.03,-0.08,-0.1,0.0,0.0,0.0,-2.84,-5.07
1268,漢來美食,觀光事業,156.0,-0.95,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.65,-7.0,-0.02,-0.15,-0.16,-0.19,0.0,1.0,,0.0,0.06,0.0,0.0,0.01,-0.01,0.04,0.0,0.0,0.0,-4.88,-4.88
1301,台塑,塑膠工業,40.05,-3.49,,,,1.22,-0.03,-2043.0,-0.04,-0.04,-0.04,0.0,2.0,6.0,28.11,2318.0,0.04,0.56,1.36,1.23,5.0,10.0,,-0.01,0.92,-1555.0,-0.02,0.3,0.87,0.44,4.0,4.0,6.0,-7.08,-7.08
1303,南亞,塑膠工業,53.8,-6.11,,,,1.7,-0.09,-7333.0,0.21,0.29,0.05,4.0,8.0,11.0,28.05,9902.0,0.12,1.07,1.57,1.77,5.0,9.0,,-0.06,2.21,-2365.0,-0.03,0.7,1.53,1.38,1.0,2.0,9.0,-6.11,-6.11
1304,台聚,塑膠工業,10.2,-4.67,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.9,-2334.0,-0.2,-0.07,0.35,0.02,2.0,6.0,,-0.01,0.37,-1236.0,-0.1,-0.0,0.27,0.08,0.0,0.0,0.0,-9.73,-10.13
1305,華夏,塑膠工業,10.6,-4.5,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.22,-898.0,-0.15,0.0,0.42,0.12,3.0,8.0,,0.0,0.15,-618.0,-0.11,-0.09,0.08,-0.04,0.0,0.0,0.0,-9.79,-16.21
1307,三芳,塑膠工業,32.65,1.4,,,,0.07,0.0,0.0,0.0,-0.16,-0.53,0.0,0.0,0.0,6.9,1.0,0.0,0.13,-0.02,-0.2,4.0,7.0,,0.01,0.67,29.0,0.01,0.08,0.01,0.03,1.0,3.0,12.0,-3.69,-3.69
1308,亞聚,塑膠工業,12.4,-2.36,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,-552.0,-0.09,0.09,0.28,0.22,3.0,7.0,,0.0,0.3,-327.0,-0.06,0.02,0.2,-0.02,0.0,0.0,0.0,-9.49,-9.49
1309,台達化,塑膠工業,10.7,-2.73,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.09,-204.0,-0.05,0.31,0.42,0.21,4.0,7.0,,0.0,0.35,-118.0,-0.03,0.11,0.18,0.05,0.0,0.0,0.0,-7.36,-13.71
1310,台苯,塑膠工業,8.5,-2.75,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.92,-207.0,-0.04,0.18,0.39,0.28,4.0,7.0,,0.0,0.45,-287.0,-0.05,0.02,0.13,0.01,0.0,0.0,0.0,-7.1,-13.44
1312,國喬,塑膠工業,10.2,-1.92,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.74,-523.0,-0.05,-0.09,0.08,0.6,3.0,5.0,,-0.02,8.4,118.0,0.01,0.17,0.26,0.54,0.0,0.0,0.0,-7.27,-7.27
1313,聯成,塑膠工業,9.59,-4.1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,-2769.0,-0.2,-0.19,-0.17,-0.21,2.0,5.0,,0.0,0.17,-2236.0,-0.16,-0.12,-0.09,-0.11,0.0,0.0,0.0,-10.37,-12.82
1314,中石化,塑膠工業,8.2,-3.98,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-2724.0,-0.07,0.35,-1.72,-1.09,3.0,4.0,,-0.04,0.32,-4840.0,-0.13,0.12,-1.41,-0.64,0.0,0.0,0.0,-15.9,-15.9
1315,達新,塑膠工業,64.5,-0.15,,,,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,0.0,0.0,0.0,0.0,0.0,2.0,3.0,,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.46,-3.01
1316,上曜,建材營造,14.15,-1.05,,,,0.38,-0.0,-4.0,-0.0,-0.0,0.24,0.0,0.0,4.0,6.58,-9.0,-0.0,-0.57,-0.73,0.58,1.0,4.0,,-0.0,0.02,-103.0,-0.04,-0.22,0.04,1.39,2.0,2.0,5.0,-13.98,-13.98
1319,東陽,汽車工業,94.9,-1.25,,,,10.13,0.1,602.0,0.24,0.71,0.75,3.0,7.0,11.0,13.91,-731.0,-0.12,-0.49,-0.99,-2.14,2.0,2.0,,-0.03,1.58,-249.0,-0.04,0.19,0.26,-0.01,2.0,3.0,9.0,-5.57,-7.86
1321,大洋,塑膠工業,35.85,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.02,-22.0,-0.01,0.02,0.04,-0.06,3.0,5.0,,0.0,0.14,-4.0,-0.0,-0.0,-0.0,0.01,0.0,0.0,0.0,-0.83,-5.03
1323,永裕,塑膠工業,19.65,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,3.0,0.0,-0.03,-0.02,-0.03,3.0,6.0,,-0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.76,-0.76
1324,地球,塑膠工業,10.55,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,1.0,0.0,-0.03,-0.04,0.03,2.0,4.0,,0.0,0.04,-1.0,-0.0,-0.0,-0.0,-0.43,0.0,0.0,0.0,-14.23,-14.23
1325,恆大,塑膠工業,31.3,-1.57,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.39,-156.0,-0.18,0.36,0.66,0.11,4.0,7.0,,0.0,5.69,-71.0,-0.08,0.34,0.49,0.09,0.0,0.0,0.0,-1.57,-1.57
1326,台化,塑膠工業,31.7,-3.65,,,,0.05,-0.0,-16.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,33.36,-4925.0,-0.08,0.34,1.24,1.29,2.0,7.0,,-0.0,0.91,-3486.0,-0.06,0.16,0.48,0.3,1.0,3.0,4.0,-10.96,-10.96
1336,台翰,電子零組件業,16.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.17,8.0,0.01,-0.15,-0.17,-0.52,3.0,4.0,,0.0,0.01,6.0,0.01,-0.1,-0.18,-0.43,0.0,0.0,0.0,-8.31,-13.51
1337,再生-KY,塑膠工業,4.92,-0.61,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.98,-23.0,-0.01,0.02,0.06,-0.05,2.0,6.0,,0.0,0.1,-31.0,-0.01,-0.02,-0.0,-0.16,0.0,0.0,0.0,-4.28,-7.34
1338,廣華-KY,汽車工業,20.4,-1.21,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.02,-5.0,-0.01,0.05,-0.03,-0.05,2.0,3.0,,0.0,0.17,-2.0,-0.0,-0.01,-0.09,-0.1,0.0,0.0,0.0,-6.21,-11.3
1339,昭輝,汽車工業,44.3,-0.11,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,-3.0,-0.0,-0.0,0.0,-0.1,1.0,3.0,,0.0,0.22,0.0,0.0,0.07,0.11,0.25,0.0,0.0,0.0,-4.32,-6.44
1340,勝悅-KY,塑膠工業,6.95,-2.39,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.32,-29.0,-0.02,-0.05,-0.2,-0.21,1.0,2.0,,-0.0,0.28,11.0,0.01,0.1,0.1,-0.04,0.0,0.0,0.0,-2.39,-19.37
1341,富林-KY,塑膠工業,58.3,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.61,1.0,0.0,0.0,0.0,0.0,2.0,3.0,,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.43,-11.13
1342,八貫,其他,82.8,-0.6,,,,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.59,-57.0,-0.08,-0.34,-0.19,-0.4,0.0,2.0,,0.0,0.64,4.0,0.01,0.12,0.36,0.02,0.0,0.0,0.0,-3.16,-9.9
1402,遠東新,紡織纖維,27.95,0.18,,,,6.07,-0.01,-473.0,-0.02,-0.02,-0.05,0.0,0.0,3.0,18.5,1177.0,0.02,0.37,0.61,0.31,5.0,10.0,,-0.0,2.13,396.0,0.01,0.16,0.2,-0.04,5.0,10.0,17.0,-1.06,-1.06
1409,新纖,紡織纖維,15.65,-1.88,,,,0.06,0.0,11.0,0.0,0.0,0.0,1.0,1.0,1.0,11.6,2751.0,0.17,1.11,1.9,1.56,5.0,10.0,,0.01,0.24,1481.0,0.09,0.9,1.56,1.24,1.0,3.0,6.0,-1.88,-1.88
1410,南染,紡織纖維,34.45,2.38,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.42,-2.0,-0.0,-0.0,0.01,-0.0,1.0,2.0,,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.57,-3.5
1413,宏洲,紡織纖維,10.05,0.6,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,1.0,0.0,0.0,0.0,0.0,2.0,3.0,,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.37,-14.1
1414,東和,紡織纖維,16.8,-0.3,,,,0.17,-0.0,-1.0,-0.0,-0.0,0.09,0.0,0.0,3.0,1.53,-35.0,-0.02,-0.23,-0.14,-0.39,0.0,3.0,,0.0,0.16,0.0,0.0,-0.03,-0.03,-0.01,2.0,2.0,4.0,-8.2,-13.18
1416,廣豐,其他,11.65,-1.27,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.87,21.0,0.01,-0.03,-0.04,-0.08,2.0,5.0,,0.0,0.06,-15.0,-0.01,0.15,0.16,0.08,0.0,0.0,0.0,-2.1,-2.1
1417,嘉裕,紡織纖維,8.51,-1.5,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,10.0,0.01,0.01,0.03,0.01,3.0,5.0,,0.0,0.08,-15.0,-0.01,-0.01,0.05,0.03,0.0,0.0,0.0,-3.62,-3.62
1418,東華,紡織纖維,19.95,-0.5,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08,-6.0,-0.01,-0.02,-0.01,-0.06,2.0,5.0,,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.55,-10.34
1419,新紡,紡織纖維,64.4,0.16,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,-6.0,-0.0,0.23,0.51,-0.0,4.0,8.0,,0.0,0.24,35.0,0.01,0.16,0.28,-0.11,0.0,0.0,0.0,-1.38,-1.38
1423,利華,紡織纖維,39.25,-1.01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38,-1.0,-0.0,-0.01,-0.01,-0.02,1.0,4.0,,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.01,-1.01
1432,大魯閣,貿易百貨,17.1,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,-9.0,-0.01,-0.1,-0.07,-0.06,1.0,5.0,,-0.0,0.01,-24.0,-0.03,-0.1,-0.14,-0.19,0.0,0.0,0.0,-2.56,-3.39
1434,福懋,紡織纖維,15.7,-0.95,,,,0.31,0.0,0.0,0.0,0.0,-0.06,0.0,0.0,0.0,6.66,-172.0,-0.01,0.05,0.26,0.04,3.0,8.0,,0.0,2.86,-20.0,-0.0,0.04,0.21,-0.01,3.0,5.0,12.0,-4.85,-4.85
1435,中福,其他,24.9,-0.8,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,-0.01,-0.01,-0.01,1.0,1.0,,0.0,0.0,,,,,,0.0,0.0,0.0,-7.78,-17.0
1436,華友聯,建材營造,61.0,-1.13,,,,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.54,-49.0,-0.05,-0.02,0.04,0.36,3.0,5.0,,-0.01,0.0,-9.0,-0.01,-0.06,-0.12,0.07,0.0,0.0,0.0,-7.15,-25.15
1437,勤益控,其他,31.85,-0.16,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.04,-32.0,-0.02,0.08,0.19,0.21,4.0,9.0,,0.0,0.07,-1.0,-0.0,-0.0,0.02,0.02,0.0,0.0,0.0,-0.47,-2.3
1438,三地開發,建材營造,33.9,0.44,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,1.0,0.0,0.01,-0.08,-0.07,2.0,3.0,,0.0,0.01,0.0,0.0,0.0,-0.01,0.01,0.0,0.0,0.0,-9.48,-12.29
1439,中和,紡織纖維,26.75,-1.83,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,-0.01,-0.01,-0.0,2.0,4.0,,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.12,-10.39
1440,南紡,紡織纖維,13.5,-1.82,,,,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.64,368.0,0.02,0.08,0.44,0.35,4.0,8.0,,-0.0,0.34,-345.0,-0.02,-0.01,0.17,0.13,0.0,0.0,0.0,-7.53,-7.53
1441,大東,紡織纖維,10.7,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32,1.0,0.0,0.0,0.0,-0.02,2.0,2.0,,0.0,0.04,-1.0,-0.0,-0.0,-0.0,-0.03,0.0,0.0,0.0,-4.46,-8.94
1442,名軒,建材營造,31.0,-2.82,,,,8.54,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,7.51,-344.0,-0.09,-0.47,-0.75,-1.4,1.0,1.0,,-0.0,0.11,-75.0,-0.02,-0.01,-0.08,-0.24,1.0,1.0,2.0,-13.41,-45.42
1443,立益,其他,27.4,1.11,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,1.0,0.0,0.0,0.0,0.0,1.0,2.0,,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.2,-8.05
1444,力麗,紡織纖維,6.09,-0.16,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.17,-359.0,-0.04,-0.09,-0.03,-0.0,2.0,5.0,,0.0,0.16,-130.0,-0.01,-0.06,-0.12,-0.08,0.0,0.0,0.0,-9.37,-9.91
1445,大宇,紡織纖維,14.4,2.86,,,,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.68,-4.0,-0.0,-0.0,-0.02,-0.02,2.0,3.0,,-0.0,0.13,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.71,-12.46
1446,宏和,紡織纖維,17.6,-0.56,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.48,-62.0,-0.05,-0.2,-0.14,-0.16,1.0,4.0,,0.0,0.12,-18.0,-0.01,-0.03,-0.03,-0.11,0.0,0.0,0.0,-7.12,-16.98
