id,name,category,月增率%,年增率%,累計年增率%,5日漲跌幅,收盤價,漲跌幅,A轉跌幅,成交量,3日前漲跌幅,前日漲跌幅,昨日漲跌幅,距20日最高價,開盤位置,開盤價,昨日A轉跌幅,前日成交量,昨日成交量,ma5距離,ma10距離,ma20距離,ma60距離
3666,光耀,光電業,,,,2.84,29.5,-1.83,-4.22,104.31,-0.17,-1.84,2.39,2.349999999999998,-0.17,30.0,-1.48,38.12,112.11,-0.25,-1.17,-2.19,-0.87
3672,康聯訊,通信網路業,,,,5.51,12.2,0.0,-2.01,59.2,0.0,0.85,2.52,1.950000000000001,1.23,12.35,-0.41,78.21,35.07,0.22,0.2,-0.34,-0.66
3675,德微,半導體業,,,,15.41,155.5,0.0,-3.42,1240.04,2.15,-0.7,9.89,0.0,2.57,159.5,0.0,279.34,1252.74,8.6,13.95,18.03,13.34
3680,家登,半導體業,,,,0.59,423.0,-0.82,-1.17,1420.16,-0.35,-0.71,1.31,22.0,-0.47,424.5,-5.22,2309.62,5167.0,-1.0,1.65,41.2,70.99
3684,榮昌,通信網路業,,,,-5.63,57.8,-4.46,-4.3,169.44,-3.75,0.97,-2.73,13.899999999999999,-0.99,59.9,-3.66,37.94,57.45,-3.42,-3.05,-3.94,3.14
3685,元創精密,電機機械,,,,0.0,37.2,-3.5,-4.37,587.45,-1.03,0.13,0.0,6.600000000000001,0.13,38.6,-1.28,322.97,608.62,-1.14,-1.75,-3.12,-2.52
3687,歐買尬,電子商務,,,,-1.07,81.6,-1.21,-1.92,185.91,-0.36,-1.31,-0.12,2.0,0.48,83.0,-1.08,152.97,125.34,-1.36,-0.96,-0.81,0.99
3689,湧德,電子零組件業,,,,-1.21,119.0,-2.46,-2.46,3579.66,1.62,-0.4,-2.4,11.5,0.0,122.0,-3.94,4643.74,8310.75,-4.0,-4.1,0.92,11.4
3691,碩禾,光電業,,,,43.52,121.5,6.11,-2.02,4153.02,9.95,10.0,9.57,0.0,-1.31,113.0,0.0,2116.57,6637.44,17.12,29.95,35.67,46.04
3693,營邦,電腦及週邊設備業,,,,-0.41,357.5,0.0,-1.92,264.26,1.37,-3.64,0.0,29.5,-0.28,356.5,-1.38,501.24,276.56,-4.4,7.0,42.98,43.74
3707,漢磊,半導體業,,,,7.05,58.5,3.36,-1.18,8046.49,3.98,-0.52,-1.05,0.19999999999999574,-0.18,56.5,-2.92,5877.78,7167.75,1.48,2.17,4.42,6.26
3709,鑫聯大投控,電腦及週邊設備業,,,,8.75,60.6,-5.16,-8.04,3923.1,0.5,-0.66,5.62,2.5,0.0,63.9,-1.54,3435.4,3585.55,-0.7,-1.0,4.47,6.47
3710,連展投控,電子零組件業,,,,0.0,5.67,0.35,0.0,515.29,0.0,-0.18,-0.18,0.4500000000000002,-1.77,5.55,0.0,259.26,267.41,0.01,-0.03,-0.12,-0.92
3713,新晶投控,光電業,,,,1.58,21.8,-3.11,-2.9,196.22,2.26,-1.11,0.67,1.75,-0.22,22.45,-2.17,34.18,59.82,-0.47,-0.37,-0.86,-0.19
4102,永日,生技醫療業,,,,1.75,20.3,0.25,-0.25,65.12,2.0,-1.23,0.5,0.34999999999999787,0.0,20.25,-0.25,72.29,42.39,0.08,0.17,0.19,-0.65
4105,東洋,生技醫療業,,,,2.55,83.7,-0.36,-0.83,747.09,0.85,0.12,1.08,0.0,0.24,84.2,-0.24,701.11,922.48,0.48,1.2,1.25,2.36
4107,邦特,生技醫療業,,,,-1.62,120.0,-1.23,-1.23,147.94,0.0,0.0,-1.62,3.5,0.0,121.5,-1.62,23.19,152.4,-2.4,-2.5,-1.72,-3.06
4109,加捷生醫,生技醫療業,,,,2.37,15.0,0.33,-0.66,244.72,0.68,1.68,-0.99,0.40000000000000036,0.0,14.95,-1.64,484.01,236.08,0.07,0.2,0.03,-0.43
4111,濟生,生技醫療業,,,,3.07,30.05,0.33,-0.5,137.95,1.02,0.68,0.5,0.0,-0.17,29.9,-0.66,143.83,230.19,0.31,0.63,0.66,0.3
4113,聯上,建材營造,,,,-2.91,21.55,0.7,-0.46,303.15,0.45,-0.45,-4.04,4.600000000000001,0.0,21.4,-4.25,69.48,364.76,-0.44,-0.99,-1.92,-0.7
4114,健喬,生技醫療業,,,,0.0,32.7,-0.3,-0.76,1023.96,-0.15,-0.3,0.0,0.5499999999999972,0.46,32.95,-0.61,613.16,806.76,-0.13,-0.21,0.15,0.2
4116,明基醫,生技醫療業,,,,0.34,44.35,-1.22,-1.22,40.01,0.67,-0.55,0.22,1.0500000000000043,0.0,44.9,-0.55,12.24,28.18,-0.42,-0.3,-0.24,-1.17
4120,友華,生技醫療業,,,,2.27,44.65,-0.33,-0.78,50.84,0.91,1.58,-0.67,1.0,0.45,45.0,-0.67,5.03,82.84,0.06,0.04,0.26,-0.7
4121,優盛,生技醫療業,,,,0.66,15.15,-0.33,-0.33,135.99,0.66,0.33,-0.33,0.45000000000000107,-0.99,15.05,-0.98,98.35,106.33,-0.03,-0.03,-0.11,-0.12
4123,晟德,生技醫療業,,,,5.79,41.65,-1.3,-3.03,3443.49,1.48,1.46,0.96,1.5999999999999943,1.42,42.8,-5.27,4545.39,7791.73,0.16,0.74,1.69,4.16
4126,太醫,生技醫療業,,,,1.69,83.7,-0.83,-0.83,37.96,0.24,-0.12,1.56,1.6999999999999886,0.0,84.4,-0.12,31.69,65.07,0.22,0.54,-0.49,-2.78
4127,天良,生技醫療業,,,,3.99,30.45,-1.77,-2.72,111.16,1.83,1.14,0.0,0.0,-4.19,29.7,0.0,43.02,48.13,-0.19,0.04,0.16,-0.4
4128,中天,生技醫療業,,,,4.38,21.1,1.93,-1.63,1851.31,2.19,1.67,-3.04,0.40000000000000213,1.45,21.0,-5.26,2261.26,3427.29,0.16,0.91,1.66,0.83
4129,聯合,生技醫療業,,,,0.44,112.0,0.9,-0.88,244.83,2.22,-1.74,-1.77,4.5,0.45,111.5,-2.63,259.13,248.66,-0.7,-0.55,0.12,-5.98
4130,健亞,生技醫療業,,,,-13.86,30.35,-1.94,-4.26,1113.42,-12.91,2.03,-5.35,8.45,1.29,31.35,-7.06,2910.88,1713.51,-2.22,-2.5,0.23,5.13
4131,晶宇,生技醫療業,,,,3.5,40.0,1.01,-3.38,108.5,-0.37,-0.63,0.0,1.0500000000000043,1.77,40.3,0.0,31.1,37.1,0.19,-0.27,-0.33,3.51
4138,曜亞,生技醫療業,,,,-0.33,60.1,0.17,-0.17,29.24,-0.17,0.17,-0.66,2.799999999999997,-0.17,59.9,-1.15,21.77,54.15,-0.14,0.21,-0.48,-3.09
4139,馬光-KY,生技醫療業,,,,0.2,24.3,-2.41,-2.99,8.06,0.0,1.2,-1.58,1.4499999999999993,-2.41,24.3,0.0,2.01,1.0,-0.6,-0.71,-0.52,0.04
4147,中裕,生技醫療業,,,,2.13,60.9,-1.3,-2.25,889.69,1.31,0.0,-0.16,1.7000000000000028,0.65,62.1,-1.44,416.71,667.91,-0.54,-0.32,-0.41,-4.7
4153,鈺緯,生技醫療業,,,,1.29,34.7,0.0,-1.7,22.4,0.29,0.14,-0.86,0.3500000000000014,1.73,35.3,-1.14,2.79,53.43,-0.14,-0.28,-0.24,-0.02
4154,樂威科-KY,生技醫療業,,,,12.5,15.65,-3.4,-3.4,4.72,3.47,5.03,3.51,,0.0,16.2,0.0,12.0,39.82,0.29,0.81,0.53,-0.31
4157,太景*-KY,生技醫療業,,,,2.08,14.3,-0.69,-3.05,4674.88,-1.04,2.45,-1.71,1.6499999999999986,1.39,14.6,-4.32,5370.15,5427.42,-0.12,-0.36,0.66,3.1
4160,創源,生技醫療業,,,,4.96,54.3,-1.09,-1.27,80.23,4.58,1.64,-1.44,2.0,0.0,54.9,-3.51,156.67,87.19,-0.12,1.8,2.87,2.34
4161,聿新科,生技醫療業,,,,7.6,26.7,-0.37,-0.74,167.68,0.2,7.78,-0.74,0.3000000000000007,0.37,26.9,-1.47,202.93,213.92,0.59,1.2,1.31,0.81
4162,智擎,生技醫療業,,,,5.76,70.9,-0.28,-3.54,883.31,1.44,1.7,-0.84,0.5,2.67,73.0,-2.47,479.17,804.59,0.16,-0.51,-0.59,-0.31
4163,鐿鈦,生技醫療業,,,,1.39,93.1,-1.06,-1.48,47.4,0.43,0.32,0.21,0.20000000000000284,0.43,94.5,-0.63,19.67,20.11,-0.48,0.16,0.8,-2.66
4167,松瑞藥,生技醫療業,,,,6.09,20.2,-0.25,-3.35,3079.18,0.76,0.0,2.02,0.10000000000000142,2.22,20.7,-3.57,1795.22,4761.44,0.23,0.97,1.77,2.24
4168,醣聯,生技醫療業,,,,11.53,29.0,4.13,-1.69,1923.67,0.38,-0.38,5.29,0.0,0.9,28.1,-3.63,268.45,1282.46,1.74,2.36,2.76,5.46
4171,瑞基,農業科技,,,,5.06,19.8,0.51,-4.58,263.31,-0.76,1.02,-0.51,0.0,1.52,20.0,-0.76,128.2,110.05,0.07,0.44,0.52,-0.59
4173,久裕,生技醫療業,,,,1.15,21.85,-0.46,-0.46,175.74,0.69,0.69,-0.23,0.1999999999999993,-0.91,21.75,-0.45,154.41,52.48,-0.02,0.21,0.48,0.02
4174,浩鼎,生技醫療業,,,,6.81,26.6,0.0,-3.1,1248.36,2.14,0.57,0.76,2.4499999999999993,1.13,26.9,-1.3,455.48,786.45,0.29,0.18,-0.54,-0.14
4175,杏一,生技醫療業,,,,0.0,58.5,0.34,0.0,15.45,0.51,-1.36,0.52,1.5,0.0,58.3,0.0,13.01,27.4,0.08,0.14,-0.29,0.47
4183,福永生技,生技醫療業,,,,-2.08,16.35,-0.91,-0.61,33.59,,,-1.79,,-0.3,16.45,-2.65,8.0,6.0,-0.26,-0.35,-0.37,-0.88
4188,安克,生技醫療業,,,,6.69,15.1,2.72,-0.33,121.32,0.7,0.35,2.44,0.0,0.68,14.8,0.0,49.51,98.9,0.57,0.61,0.47,-0.18
4192,杏國,生技醫療業,,,,2.9,24.25,-1.02,-2.41,11.4,2.07,-0.2,-0.41,,0.0,24.5,-0.41,12.24,12.44,-0.18,-0.11,-0.34,-1.43
4198,欣大健康,生技醫療業,,,,0.16,32.0,0.95,0.0,3.24,0.0,-0.31,-0.47,,0.63,31.9,-0.78,12.28,7.06,0.11,0.46,-1.81,-4.02
4205,中華食,食品工業,,,,0.12,80.5,-0.12,-0.12,39.25,0.25,0.0,-0.12,4.300000000000011,0.0,80.6,-0.49,21.74,36.82,-0.1,-0.13,-0.38,-2.61
4207,環泰,食品工業,,,,1.36,18.7,0.81,0.0,75.24,-0.81,1.09,0.27,0.75,0.0,18.55,-0.27,165.84,139.79,0.2,0.23,0.09,-0.25
4303,信立,塑膠工業,,,,0.82,60.5,0.5,-1.14,923.71,0.33,-0.33,-0.82,3.5,0.17,60.3,-1.63,861.02,946.75,-0.1,-0.29,-0.54,-5.14
4304,勝昱,塑膠工業,,,,-1.54,32.0,0.0,0.0,16.18,0.0,0.0,-1.54,3.700000000000003,-0.16,31.95,-1.54,12.0,18.9,-0.3,-0.41,0.27,4.06
4305,世坤,塑膠工業,,,,-0.24,41.8,-0.83,-0.12,3.0,0.12,0.12,0.24,,-0.71,41.85,0.0,1.0,1.04,-0.19,-0.15,-0.09,-0.06
4401,東隆興,紡織纖維,,,,9.06,17.15,5.54,-1.72,261.08,1.25,0.31,0.0,0.0,2.77,16.7,-1.22,58.7,88.66,0.78,0.85,0.5,0.03
4402,福大,紡織纖維,,,,-0.5,19.5,-1.76,-1.76,46.2,0.0,0.25,-0.75,0.7999999999999972,-0.76,19.7,-0.5,30.03,77.06,-0.35,-0.49,-0.51,0.78
4406,新昕纖,紡織纖維,,,,0.0,10.0,1.63,0.0,32.21,-0.8,-1.61,0.82,,-1.42,9.7,0.0,9.0,22.06,0.1,0.01,-0.04,0.09
4413,飛寶企業,紡織纖維,,,,1.65,18.45,1.1,0.0,1.01,0.0,-0.28,0.83,,1.1,18.45,-1.35,14.11,46.7,0.23,0.47,0.76,0.13
4416,三圓,建材營造,,,,-1.84,29.2,-2.67,-0.68,94.59,0.5,-2.33,2.04,6.800000000000004,-2.83,29.15,0.0,38.14,123.54,-0.53,-0.73,-1.39,-9.29
4417,金洲,紡織纖維,,,,0.58,52.3,0.38,-0.19,152.86,0.77,0.19,-0.95,2.3000000000000043,0.38,52.3,-0.76,63.92,170.83,-0.02,-0.07,-0.75,-1.45
