id,name,price,drop,3day,5day
6829,千附精密,113.5,-31.30699088145897,-1.309999999999999,-1.2999999999999992
4188,安克,25.65,-31.684491978609618,-1.7300000000000175,-1.9200000000000053
1617,榮星,22.8,-32.01219512195121,-5.860000000000003,-8.88000000000001
3685,元創精密,19.0,-32.02146690518784,-2.8299999999999983,-2.0599999999999934
3257,虹冠電,61.6,-32.30769230769231,-0.4800000000000156,-2.0700000000000016
5907,大洋-KY,9.16,-32.37037037037037,-2.569999999999999,-5.379999999999993
3122,笙泉,38.65,-32.50444049733569,-2.64999999999999,-3.030000000000016
8054,安國,151.5,-32.8125,-3.8000000000000136,-2.8299999999999903
1305,華夏,18.15,-32.8996282527881,-1.9000000000000037,-2.1699999999999933
6148,驊宏資,29.3,-32.98490127758419,-0.9999999999999988,-0.6599999999999926
